도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
청소년도서관 작공,서울특별시,은평구,작은도서관,일요일 법정공휴일,10:30,19:30,10:30,19:30,00:00,00:00,30,1750,23,125,3,14,통일로 817 (대조동),,070-7657-1533,,,,37.6149199900,126.9161860000,2020-07-01,3110000,서울특별시 은평구
무지개영어도서관,서울특별시,은평구,작은도서관,월요일 법정공휴일,00:00,00:00,00:00,00:00,09:00,18:00,16,2700,0,0,3,3,서오릉로21길 11 (구산동),,02-383-4880,,,https://library.ep.go.kr/usweb/USMN000.asp?B4EBC1B6B2DEB3AAB9ABBEEEB8B0C0CCB5B5BCADB0FC,37.6149467700,126.9075233000,2020-07-01,3110000,서울특별시 은평구
대조꿈나무어린이도서관,서울특별시,은평구,작은도서관,일요일  법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,60,14605,4,0,5,14,연서로20길 24-6 (대조동),,02-382-3959,,,,37.6138752700,126.9207138000,2020-07-01,3110000,서울특별시 은평구
대조제일교회  꿈꾸는 작은도서관,서울특별시,은평구,작은도서관,"월요일,토요일 법정공휴일",13:00,17:00,13:00,17:00,13:00,17:00,44,8796,10,10,2,14,역말로10가길 22-12 (대조동),,02-386-6680,,,https://library.ep.go.kr/usweb/USMN000.asp?C0C0BECF1B5BF20B9AEC8ADC0C720C1FD20B9AEB0ED,37.6119161600,126.9253585000,2020-07-01,3110000,서울특별시 은평구
징검다리 도서관,서울특별시,은평구,작은도서관,"월,일요일",09:00,17:00,09:00,17:00,09:00,17:00,10,8181,11,0,2,7,서오릉로 132 (대조동),,02-359-6507,,,,37.6107902800,126.9183440000,2020-07-01,3110000,서울특별시 은평구
안동시립웅부도서관,경상북도,안동시,공공도서관,"첫째, 셋째 월요일/국가지정공휴일",08:00,22:00,08:00,22:00,00:00,00:00,0,96077,0,8052,5,14,경상북도 안동시 태사길 78,안동시립웅부도서관,054-858-5041,1385,1898,http://lib.andong.go.kr,36.5661722,128.7352914,2020-08-31,5070000,경상북도 안동시
안동시립어린이도서관,경상북도,안동시,공공도서관,"첫째, 셋째 월요일/국가지정공휴일",08:00,22:00,08:00,22:00,00:00,00:00,46,43666,19,1858,5,14,경상북도 안동시 강남5길 113-14,안동시립어린이도서관,054-840-3901,4850,2177,http://lib.andong.go.kr,36.54883645,128.7298289,2020-08-31,5070000,경상북도 안동시
마뜰작은도서관,경상북도,안동시,작은도서관,주말/국가지정공휴일,10:00,17:00,00:00,00:00,00:00,00:00,25,4681,0,164,2,7,경상북도 안동시 전거리1길 93,용상동 평생학습센터,054-822-8383,1975,944.29,,36.5592268,128.749606,2020-08-31,5070000,경상북도 안동시
어깨동무작은도서관,경상북도,안동시,작은도서관,"월,목,공휴일",10:00,17:00,10:00,17:00,00:00,00:00,24,4500,2,0,5,14,경상북도 안동시 와룡면 퇴계로 826,어깨동무작은도서관,054-859-6477,999,225.87,,36.61642938,128.767288,2020-08-31,5070000,경상북도 안동시
IBK기업은행과 함께하는 책읽는 기쁨 작은도서관,경상북도,안동시,작은도서관,"주말,공휴일",09:00,18:00,00:00,00:00,00:00,00:00,30,3966,0,0,2,14,경상북도 안동시 제비원로 93,안동시 평생교육과,054-840-5575,87.47,3094,,36.56045844,128.720276,2020-08-31,5070000,경상북도 안동시
경상북도교육청 안동도서관,경상북도,안동시,공공도서관,"매월 둘째, 넷째 월요일/국가지정공휴일",08:00,22:00,08:00,22:00,00:00,00:00,1276,216397,253,12419,10,14,경상북도 안동시 안기천로 48,경상북도교육청 안동도서관,054-840-8414,4827,4302,http://www.gbelib.kr/ad,36.56189581,128.7172531,2020-08-31,5070000,경상북도 안동시
내를건너서숲으로도서관,서울특별시,은평구,공공도서관,"월요일,법정공휴일",09:00,22:00,09:00,18:00,09:00,18:00,170,34384,58,363,5,14,서울특별시 은평구 증산로17길 51,사단법인더불어배움,02-307-6701,1200,1982,http://www.nslib.or.kr,37.5914140000,126.9078160000,2020-07-01,3110000,서울특별시 은평구
은뜨락도서관,서울특별시,은평구,공공도서관,"월요일,법정공휴일",09:00,22:00,09:00,18:00,09:00,18:00,188,13295,61,30,5,14,서울특별시 은평구 통일로 972,재단법인횃불장확회,02-389-7635,,1075,https://www.edlib.or.kr,37.6301393600,126.9199312000,2020-07-01,3110000,서울특별시 은평구
은평작은도서관,서울특별시,은평구,작은도서관,"토,일요일 법정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,14,11595,0,0,3,14,은평로 195 (은평구청 1층),,02-351-8461,,,https://library.ep.go.kr/usweb/USMN000.asp?C0BAC6F2C0DBC0BAB5B5BCADB0FC,37.6021755600,126.9293379000,2020-07-01,3110000,서울특별시 은평구
녹번만화도서관,서울특별시,은평구,작은도서관,매주월요일,09:00,18:00,09:00,18:00,09:00,18:00,35,3955,1,0,0,0,은평로 245,,02-356-1676,,,,37.6010684200,126.9349099000,2020-07-01,3110000,서울특별시 은평구
무등지역아동센터작은도서관,광주광역시,남구,작은도서관,공휴일,11:00,19:00,13:00,18:00,00:00,00:00,15,2300,10,0,3,7,광주광역시 남구 군분로 32,무등지역아동센터,062-365-7156,,39.7,,35.1366405837,126.8946351419,2020-08-31,3610000,광주광역시 남구
무지개작은도서관,광주광역시,남구,작은도서관,공휴일,09:00,18:00,09:00,17:00,00:00,00:00,50,5000,0,0,0,0,광주광역시 남구 회서로52번길 19,무지개지역아동센터,062-682-0191,,158,,35.1276769344,126.8967858887,2020-08-31,3610000,광주광역시 남구
민들레작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",09:00,18:00,00:00,00:00,00:00,00:00,9,10706,4,0,3,14,광주광역시 남구 회재로1186번길 5,(사)실로암사람들,062-672-7784,,35.26,,35.1313952286,126.8913084215,2020-08-31,3610000,광주광역시 남구
방림휴먼시아작은도서관,광주광역시,남구,작은도서관,공휴일,09:00,21:00,09:00,17:00,00:00,00:00,20,4088,0,0,3,14,광주광역시 남구 방림로 31,방림휴먼시아아파트,062-675-7766,,69,,35.1346835777,126.9198852049,2020-08-31,3610000,광주광역시 남구
백운3반딧불작은도서관,광주광역시,남구,작은도서관,공휴일,09:00,18:00,10:00,15:00,00:00,00:00,20,4400,0,0,0,0,광주광역시 남구 백운로 100,백운휴먼시아3단지,062-673-1237,,40,,35.1423810198,126.9068774144,2020-08-31,3610000,광주광역시 남구
백운우방까치둥지작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",13:00,17:00,00:00,00:00,00:00,00:00,10,1140,0,0,0,0,광주광역시 남구 독립로 70-1,백운우방아이유쉘아파트,,,63.8,,35.1393362960,126.9026181103,2020-08-31,3610000,광주광역시 남구
베라체작은도서관,광주광역시,남구,작은도서관,공휴일,10:00,18:00,10:00,16:00,00:00,00:00,26,2800,0,0,3,7,광주광역시 남구 회재로 211,한일베라체아파트,062-373-0899,,72.2,,35.0836945253,126.8295177193,2020-08-31,3610000,광주광역시 남구
브라운스톤효천작은도서관,광주광역시,남구,작은도서관,없음,15:00,20:00,10:00,20:00,10:00,20:00,30,3300,0,0,0,0,광주광역시 남구 효우2로 89,브라운스톤효천아파트,062-681-2800,,126.62,,35.0980699755,126.8838703679,2020-08-31,3610000,광주광역시 남구
사과나무작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",10:00,20:00,00:00,00:00,00:00,00:00,25,1033,0,0,0,0,광주광역시 남구 월광2길 34,사과나무지역아동센터,062-366-6301,,33,,35.1469240286,126.8940013115,2020-08-31,3610000,광주광역시 남구
사랑의뜰안작은도서관,광주광역시,남구,작은도서관,"공휴일, 매주 토요일",14:00,18:00,00:00,00:00,00:00,00:00,16,1116,1,0,3,7,광주광역시 남구 양림로 39-1,영원한빛교회,062-654-9101,,36.91,,35.1370575416,126.9132714214,2020-08-31,3610000,광주광역시 남구
사랑작은도서관,광주광역시,남구,작은도서관,공휴일,10:00,18:00,10:00,18:00,00:00,00:00,20,3849,0,0,3,14,광주광역시 남구 대남대로372번안길 11-2,사랑봉사단,062-367-0442,,50,,35.1459905545,126.8930501021,2020-08-31,3610000,광주광역시 남구
금계작은도서관,강원도,횡성군,작은도서관,"토요일, 일요일, 법정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,10,9406,0,3,5,14,강원도 횡성군 공근면 학담길16,강원도 횡성군청,033-342-2121,,269.15,http://lib.hsg.go.kr,37.536875,127.9626282,2020-08-01,4260000,강원도 횡성군
치악산작은도서관,강원도,횡성군,작은도서관,"토요일, 일요일, 법정공휴일",10:00,19:00,00:00,00:00,00:00,00:00,21,8071,6,0,5,14,강원도 횡성군 강림면 강림시장2길8,강원도 횡성군청,033-342-7005,,223.5,http://lib.hsg.go.kr,37.359586,128.1289507,2020-08-01,4260000,강원도 횡성군
매봉작은도서관,강원도,횡성군,작은도서관,"일요일, 월요일, 법정공휴일",10:00,19:00,10:00,19:00,00:00,00:00,13,4219,10,0,5,14,강원도 횡성군 서원면 서원로 136,강원도 횡성군청,033-342-0036,,92,http://lib.hsg.go.kr,37.48633872,127.847627,2020-08-01,4260000,강원도 횡성군
햇살작은도서관,서울특별시,서대문구,작은도서관,"토·일요일, 법정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,25,8104,0,0,7,14,"서울특별시 서대문구 세검정로1길 45, 홍은1동 자치회관 2층",서대문구도시관리공단,02-330-8461,0,80,http://lib.sdm.or.kr,37.5932353499,126.9439055833,2020-03-31,3120000,서울특별시 서대문구
경천애인작은도서관,전라북도,완주군,작은도서관,"일요일, 법정공휴일",09:00,18:00,09:00,18:00,00:00,00:00,30,5106,0,0,5,20,전라북도 완주군 경천면 대둔산로 256 (경천문화복지센터1층),민간위탁(수탁단체 경천너는꽃),063-262-2987,,75,http://lib.wanju.go.kr,36.0219239345,127.2524683709,2020-04-08,4720000,전라북도 완주군
용꿈작은도서관,전라북도,완주군,작은도서관,"일요일, 법정공휴일",09:00,18:00,09:00,18:00,00:00,00:00,30,3517,0,0,5,20,전라북도 완주군 용진읍 완주로 174 (용진행정복지센터 3층),민간위탁(수탁단체 용꿈),063-262-2756,,99,http://lib.wanju.go.kr,35.8805176533,127.1561292667,2020-04-08,4720000,전라북도 완주군
소양철쭉작은도서관,전라북도,완주군,작은도서관,"일요일, 법정공휴일",09:00,18:00,09:00,18:00,00:00,00:00,30,7941,0,0,5,20,전라북도 완주군 소양면 소양로 194 (구)소양주민자치센터 1층,민간위탁(수탁단체 공감),063-247-8866,,155,http://lib.wanju.go.kr,35.8543067345,127.2295600263,2020-04-08,4720000,전라북도 완주군
무안군공공도서관,전라남도,무안군,공공도서관,"매주 월요일, 법정공휴일",09:00,22:00,09:00,22:00,00:00,00:00,150,60711,45,95,5,14,전라남도 무안군 해제면 현해로 1695-6,무안군,061-450-5465,2382,705,https://www.muan.go.kr/lib,35.1099183675,126.293846,2020-04-10,4950000,전라남도 무안군
사당솔밭도서관,서울특별시,동작구,공공도서관,"매주 월요일, 법정공휴일",09:00,22:00,09:00,17:00,00:00,00:00,280,61611,47,353,5,14,서울특별시 동작구 솔밭로 86,서울특별시 동작구청,02-585-8411,822.16,1724.86,http://lib.dongjak.go.kr/,37.484056,126.967369,2020-04-02,3190000,서울특별시 동작구
석관동미리내도서관,서울특별시,성북구,공공도서관,매주 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,89,30270,35,662,5,14,서울특별시 성북구 한천로66길 203,성북문화재단,02-960-5067,433,542,https://www.sblib.seoul.kr/sblib/,37.6134793,127.0654922,2020-08-26,3070000,서울특별시 성북구
달빛마루도서관,서울특별시,성북구,공공도서관,매주 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,130,47054,79,1213,5,14,서울특별시 성북구 종암로 167,성북문화재단,02-911-0993,13927,829,https://www.sblib.seoul.kr/sblib/,37.6050584,127.0309893,2020-08-26,3070000,서울특별시 성북구
정릉도서관,서울특별시,성북구,공공도서관,매주 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,81,25178,29,774,5,14,서울특별시 성북구 정릉로 242,성북문화재단,02-2038-9928,565,283,https://www.sblib.seoul.kr/sblib/,37.60474125,127.0105819,2020-08-26,3070000,서울특별시 성북구
청수도서관,서울특별시,성북구,공공도서관,매주 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,95,29826,25,808,5,14,서울특별시 성북구 보국문로 16가길 20,성북문화재단,02-2038-4423,423,462,https://www.sblib.seoul.kr/sblib/,37.61174732,127.0107732,2020-08-26,3070000,서울특별시 성북구
아리랑어린이도서관,서울특별시,성북구,공공도서관,"매월 둘째, 넷째 주 월요일 및 법정공휴일",09:00,18:00,09:00,18:00,09:00,18:00,110,31679,20,785,5,14,서울특별시 성북구 아리랑로 75,성북문화재단,02-6906-9362,693,693,https://www.sblib.seoul.kr/sblib/,37.59883044,127.0136249,2020-08-26,3070000,서울특별시 성북구
이음도서관,서울특별시,성북구,작은도서관,매주 토요일 일요일 및 법정공휴일,09:00,18:00,00:00,00:00,09:00,18:00,30,2496,5,0,5,14,서울특별시 성북구 보문로 168,성북문화재단,02-6954-0023,179,179,https://www.sblib.seoul.kr/sblib/,37.5894118,127.0168327,2020-08-26,3070000,서울특별시 성북구
월곡꿈그림도서관,서울특별시,성북구,공공도서관,매주 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,82,13521,4,61,5,14,서울특별시 성북구 화랑로 13길 17,성북문화재단,02-6549-1553,340,340,https://www.sblib.seoul.kr/sblib/,37.60507324,127.0413674,2020-08-26,3070000,서울특별시 성북구
장위행복누림도서관,서울특별시,성북구,공공도서관,"매주일요일,월요일 및 법정공휴일",09:00,18:00,09:00,18:00,09:00,18:00,60,6376,15,0,5,14,서울특별시 성북구 장위로21다길 53,성북문화재단,02-6906-9390,398,398,https://www.sblib.seoul.kr/sblib/,37.61589067,127.045836,2020-08-26,3070000,서울특별시 성북구
성북길빛도서관,서울특별시,성북구,공공도서관,매주 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,250,143702,66,9583,5,14,서울특별시 성북구 숭인로 8길 52,성북문화재단,02-6949-0031,,,https://www.sblib.seoul.kr/sblib/,37.60996089,127.026443,2020-08-26,3070000,서울특별시 성북구
의령도서관,경상남도,의령군,공공도서관,"매주월요일, 국가지정공휴일",09:00,18:00,09:00,18:00,09:00,18:00,267,110371,115,5848,10,14,경상남도 의령군 의령읍 의병로25길 9-8,의령군 의령교육지원청,055-572-0941,3323,1678,http://urlib.gne.go.kr/,35.3197983,128.2667282,2020-12-08,5390000,경상남도 의령군
포천시립중앙도서관,경기도,포천시,공공도서관,"매월마지막주금요일, 법정공휴일",09:00,22:00,09:00,18:00,09:00,18:00,326,106409,71,1381,7,14,경기도 포천시 중앙로207번길26,경기도 포천시,031-538-3912,7249,4919,https://lib.pocheon.go.kr/center/,37.908101,127.205771,2020-12-01,5600000,경기도 포천시
포천시립소흘도서관,경기도,포천시,공공도서관,"매월 마지막주 월요일, 법정공휴일",09:00,22:00,09:00,18:00,09:00,18:00,185,84221,77,1733,7,14,경기도 포천시 송우로 101-29,경기도 포천시,031-538-3951,4003.1,1985.01,https://lib.pochoen.go.kr/sh,37.8296046,127.137558,2020-12-01,5600000,경기도 포천시
통영시립충무도서관,경상남도,통영시,공공도서관,매주금요일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,169,62011,27,0,5,14,경상남도 통영시 용남면 기호바깥길 7-87,경상남도 통영시 시설관리사업소,055-650-2640,5155,2001,http://www.tongyeonglib.or.kr,34.87320995,128.4205408,2020-11-27,5330000,경상남도 통영시
통영시립산양도서관,경상남도,통영시,공공도서관,매주월요일+법정공휴일,00:00,00:00,00:00,00:00,00:00,00:00,163,30494,13,0,5,14,경상남도 통영시 산양읍 둔전길 155,경상남도 통영시 시설관리사업소,055-650-2500,2443,1223,http://www.tongyeonglib.or.kr,34.80286788,128.3934494,2020-11-27,5330000,경상남도 통영시
통영시립욕지도서관,경상남도,통영시,공공도서관,매주월요일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,52,46269,12,230,5,14,경상남도 통영시 욕지면 중촌길 203,경상남도 통영시 욕지면,055-650-4580,3022,886,http://www.tongyeonglib.or.kr,34.63676613,128.2633651,2020-11-27,5330000,경상남도 통영시
무악다솜방,서울특별시,종로구,작은도서관,"토요일, 일요일, 법정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,30,6166,0,1,5,15,서울특별시 종로구 통일로14길 36(무악동 주민센터 2층),새마을문고 무악동분회,02-2148-5164,,43.2,http://lib.jongno.go.kr/,37.5760002195,126.9581596,2020-07-07,3000000,서울특별시 종로구
홍파랑 북카페,서울특별시,종로구,작은도서관,"토요일, 일요일, 법정공휴일",10:00,17:00,00:00,00:00,00:00,00:00,10,7097,0,1,5,15,서울특별시 종로구 송월길 154(교남동 주민센터 2층),새마을문고 교남동분회,02-2148-5197,,34.3,http://lib.jongno.go.kr/,37.5719142,126.9619608,2020-07-07,3000000,서울특별시 종로구
지혜만들기 작은도서관,서울특별시,종로구,작은도서관,"토요일, 일요일, 법정공휴일",10:00,17:00,00:00,00:00,00:00,00:00,16,7145,0,57,5,15,서울특별시 종로구 종로35가길 19(종로56가동 주민센터 3층),새마을문고 종로5·6가동분회,02-2148-5285,,46,http://lib.jongno.go.kr/,37.5720608,127.0050305,2020-07-07,3000000,서울특별시 종로구
이화마을 작은도서관,서울특별시,종로구,작은도서관,"일요일, 법정공휴일",10:00,17:00,13:00,17:00,00:00,00:00,32,8731,0,0,5,15,서울특별시 종로구 이화장길 33(이화동 주민센터 2층),새마을문고 이화동분회,02-2148-5309,,90,http://lib.jongno.go.kr/,37.5769802,127.0043471,2020-07-07,3000000,서울특별시 종로구
혜화마을 북카페,서울특별시,종로구,작은도서관,"일요일, 법정공휴일",10:00,17:00,11:00,15:00,00:00,00:00,16,6144,0,0,5,15,서울특별시 종로구 혜화로 12(혜화동 자치회관 4층),새마을문고 혜화동분회,02-2148-5339,,47.2,http://lib.jongno.go.kr/,37.5868552,127.0005661,2020-07-07,3000000,서울특별시 종로구
창이 작은도서관,서울특별시,종로구,작은도서관,"토요일, 일요일, 법정공휴일",10:00,19:00,00:00,00:00,00:00,00:00,22,6605,0,1,5,15,서울특별시 종로구 창신길 62(창신2동 주민센터 2층),새마을문고 창신2동분회,02-2148-5439,,64,http://lib.jongno.go.kr/,37.5744498,127.0108719,2020-07-07,3000000,서울특별시 종로구
숭인마루 작은도서관,서울특별시,종로구,작은도서관,"토요일, 일요일, 법정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,18,6208,0,2,5,15,서울특별시 종로구 지봉로 86(숭인1동 주민센터 2층),새마을문고 숭인1동분회,02-2148-5496,,69,http://lib.jongno.go.kr/,37.5778226,127.0156271,2020-07-07,3000000,서울특별시 종로구
아름꿈도서관,서울특별시,종로구,공공도서관,"일요일, 1월1일, 설, 추석",10:00,19:00,10:00,19:00,00:00,00:00,97,23102,123,917,5,15,서울특별시 종로구 종로58가길 19,종로문화재단,02-2237-6644,598.6,524.1,http://lib.jongno.go.kr/,37.5726975,127.0171157,2020-07-07,3000000,서울특별시 종로구
어린이청소년국학도서관,서울특별시,종로구,공공도서관,"일요일, 1월1일, 설, 추석, 법정공휴일",10:00,22:00,10:00,18:00,00:00,00:00,80,11713,30,0,5,15,서울특별시 종로구 명륜길 26(명륜동 와룡문화센터 5층),종로구,02-747-8336,1243.8,511.6,http://lib.jongno.go.kr/,37.5886859,126.9955389,2020-07-07,3000000,서울특별시 종로구
작은도서관 삼봉서랑,서울특별시,종로구,작은도서관,"토요일, 일요일, 법정공휴일",09:00,19:00,00:00,00:00,00:00,00:00,67,14450,70,15,5,15,서울특별시 종로구 삼봉로 43,종로문화재단,02-2148-3932,,224,http://lib.jongno.go.kr/,37.5731978,126.9788134,2020-07-07,3000000,서울특별시 종로구
삼청공원 숲속도서관,서울특별시,종로구,작은도서관,"월요일, 1월1일, 설, 추석",10:00,18:00,10:00,18:00,10:00,18:00,50,8319,168,6,5,15,서울특별시 종로구 북촌로 134-3,북촌인심협동조합,02-734-3900,11306,206.3,http://lib.jongno.go.kr/,37.5879786,126.9840854,2020-07-07,3000000,서울특별시 종로구
우리소리도서관,서울특별시,종로구,작은도서관,"일요일, 1월1일, 설, 추석, 법정공휴일",09:00,18:00,09:00,18:00,00:00,00:00,40,2991,182,912,5,15,"서울특별시 종로구 삼일대로30길 47(종로14가동 주민센터 4,5층)",종로문화재단,070-4550-5015,670.1,587.8,http://lib.jongno.go.kr/,37.5744931,126.9902329,2020-07-07,3000000,서울특별시 종로구
통인 어린이 작은도서관,서울특별시,종로구,작은도서관,"둘째,넷째 월요일, 법정공휴일",10:00,19:00,10:00,17:00,10:00,17:00,50,15410,0,609,5,15,서울특별시 종로구 자하문로13길 20,㈜다르앤코,02-739-8444,270.9,229.5,http://lib.jongno.go.kr/,37.5804256,126.9705288,2020-07-07,3000000,서울특별시 종로구
도담도담 한옥도서관,서울특별시,종로구,작은도서관,"화요일, 법정공휴일",10:00,19:00,10:00,18:00,10:00,18:00,30,7331,0,0,5,15,서울특별시 종로구 숭인동길 43,새마을문고 종로구지부,02-928-1133,188,107.9,http://lib.jongno.go.kr/,37.5769278,127.0218396,2020-07-07,3000000,서울특별시 종로구
청운효자동 북카페,서울특별시,종로구,작은도서관,"토요일, 일요일, 법정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,41,7549,0,0,5,15,서울특별시 종로구 자하문로 92(청운효자동 주민센터 2층),서울시도심권50플러스센터,02-2148-5020,,127,http://lib.jongno.go.kr/,37.5840909,126.9706225,2020-07-07,3000000,서울특별시 종로구
꿈꾸는 평창동 작은도서관,서울특별시,종로구,작은도서관,"토요일, 일요일, 법정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,13,6632,0,0,5,15,서울특별시 종로구 평창문화로 65(평창동 주민센터 2층),새마을문고 평창동분회,02-2148-5140,,38.5,http://lib.jongno.go.kr/,37.6063736,126.9683668,2020-07-07,3000000,서울특별시 종로구
더바움문화예술작은도서관,서울특별시,광진구,작은도서관,매주 일요일,11:00,19:00,11:00,18:00,00:00,00:00,12,3311,5,0,5,7,서울특별시 광진구 구의로 39(구의동),,02-443-6366,,,,37.5414145366,127.0897296411,2020-06-30,3040000,서울특별시 광진구
성신비전스쿨도서관,서울특별시,광진구,작은도서관,매주 월요일,11:00,17:00,10:00,18:00,00:00,00:00,20,3431,3,0,3,14,서울특별시 광진구 동일로 160(화양동),,02-463-5959,,,,37.5464609950,127.0666556281,2020-06-30,3040000,서울특별시 광진구
이룸도서관,서울특별시,광진구,작은도서관,없음,13:00,18:00,13:00,18:00,00:00,00:00,8,3000,6,0,3,14,서울특별시 광진구 용마산로 49(중곡동),,02-446-0691,,,,37.5579872960,127.0875991442,2020-06-30,3040000,서울특별시 광진구
사람아이앤지작은도서관,서울특별시,광진구,작은도서관,매주 일요일,10:30,20:30,10:30,20:30,00:00,00:00,40,4800,2,1,3,7,서울특별시 광진구 천호대로 691(구의동),,02-823-4514,,,,37.5499364826,127.0916862939,2020-06-30,3040000,서울특별시 광진구
